Timestamp,name,email,restaurant,phone,check,address,lat,lng,content,adress-lookup,code
,,,Comet,,,Herrengasse 10 in Flamatt,46.8896383,7.319129,<div class='info'><span class='semiBold'>Comet</span><br />Herrengasse 10 in Flamatt</div>,,1
,,,Bern Unia,,,"Weltpoststrasse 20, Bern ",46.937755,7.4742535,"<div class='info'><span class='semiBold'>Bern Unia</span><br />Weltpoststrasse 20, Bern </div>",,2
,,,Bern BBL,,,"Fellerstrasse 21,  Bern",46.9461776,7.3854803,"<div class='info'><span class='semiBold'>Bern BBL</span><br />Fellerstrasse 21,  Bern</div>",,3
,,,Bern Emmi,,,"Forelstrasse 1, 3072 Ostermundigen",46.9628233,7.4804605,"<div class='info'><span class='semiBold'>Bern Emmi</span><br />Forelstrasse 1, 3072 Ostermundigen</div>",,4
,,,Bundesamt für Umwelt,,,,46.974446,7.4750015,<div class='info'><span class='semiBold'>Bundesamt für Umwelt</span><br /></div>,,5
,,,Seeland Gymnasium,,,"Ländtestr. 12, 2503 Biel ",47.1334112,7.2337841,"<div class='info'><span class='semiBold'>Seeland Gymnasium</span><br />Ländtestr. 12, 2503 Biel </div>",,6
,,,Franke,,,"Steinbillen, 4663 Aarburg",47.3189863,7.9084605,"<div class='info'><span class='semiBold'>Franke</span><br />Steinbillen, 4663 Aarburg</div>",,7
,,,BZZ Zofingen,,,Strengelbacherstrasse 27 in Zofingen,47.2824034,7.939348,<div class='info'><span class='semiBold'>BZZ Zofingen</span><br />Strengelbacherstrasse 27 in Zofingen</div>,,8
,,,Mepha Pharma,,,Weidenstrasse 26 4143 Dornach,47.47835,7.6076282,<div class='info'><span class='semiBold'>Mepha Pharma</span><br />Weidenstrasse 26 4143 Dornach</div>,,9
,,,Universität Luzern,,,"Frohburgstrasse 3, 6002 Luzern",47.0496188,8.3101288,"<div class='info'><span class='semiBold'>Universität Luzern</span><br />Frohburgstrasse 3, 6002 Luzern</div>",,10
,,,Pilatus,,,"Schlossweg 1, 6010 Kriens/Luzern",47.0304582,8.2604366,"<div class='info'><span class='semiBold'>Pilatus</span><br />Schlossweg 1, 6010 Kriens/Luzern</div>",,11
,,,KBZ Zug,,,"Aabachstr. 7, 6300 Zug ",47.1754004,8.5087491,"<div class='info'><span class='semiBold'>KBZ Zug</span><br />Aabachstr. 7, 6300 Zug </div>",,12
,,,Cilag,,,"Gubelstrasse 28, 6300 Zug",47.1747218,8.5118295,"<div class='info'><span class='semiBold'>Cilag</span><br />Gubelstrasse 28, 6300 Zug</div>",,13
,,,Kantonsschule Menzingen,,,"Seminarstrasse 12, 6313 Menzingen",47.1820442,8.5837857,"<div class='info'><span class='semiBold'>Kantonsschule Menzingen</span><br />Seminarstrasse 12, 6313 Menzingen</div>",,14
,,,IBM Rüschlikon,,,"Säumerstrasse 4, 8803 Rüschlikon",47.3097968,8.5425564,"<div class='info'><span class='semiBold'>IBM Rüschlikon</span><br />Säumerstrasse 4, 8803 Rüschlikon</div>",,15
,,,IBM Vulkanstrasse,,,"Vulkanstrasse 106, 8048 Zürich",47.3930202,8.483695,"<div class='info'><span class='semiBold'>IBM Vulkanstrasse</span><br />Vulkanstrasse 106, 8048 Zürich</div>",,16
,,,BBZ Wohlen,,,"Bremgartenstrasse 17, 5610 Wohlen ",47.3507034,8.2785858,"<div class='info'><span class='semiBold'>BBZ Wohlen</span><br />Bremgartenstrasse 17, 5610 Wohlen </div>",,17
,,,puur Balsberg,,,"Balz-Zimmermannstrasse 7, 8058 Zürich Flughafen",47.4399641,8.5687279,"<div class='info'><span class='semiBold'>puur Balsberg</span><br />Balz-Zimmermannstrasse 7, 8058 Zürich Flughafen</div>",,18
,,,Zürich Taubenried,,,"Flughafen Zürich, Flughafenstrasse, 8302 Kloten",47.4518322,8.5363899,"<div class='info'><span class='semiBold'>Zürich Taubenried</span><br />Flughafen Zürich, Flughafenstrasse, 8302 Kloten</div>",,19
,,,Zürich Integra,,,Hammerweg 8304 Wallisellen,47.4124837,8.5870004,<div class='info'><span class='semiBold'>Zürich Integra</span><br />Hammerweg 8304 Wallisellen</div>,,20
,,,Zürich Kant. Steueramt,,,"Bändliweg 21, 8090 Zürich",47.3949202,8.484114,"<div class='info'><span class='semiBold'>Zürich Kant. Steueramt</span><br />Bändliweg 21, 8090 Zürich</div>",,21
,,,Technopark Zürich,,,Technoparkstrasse 1 in Zürich,47.389844,8.5134361,<div class='info'><span class='semiBold'>Technopark Zürich</span><br />Technoparkstrasse 1 in Zürich</div>,,22
,,,Zürich Wasserversorgung,,,"Hardhof 9, 8064 Zürich",47.3977116,8.4940143,"<div class='info'><span class='semiBold'>Zürich Wasserversorgung</span><br />Hardhof 9, 8064 Zürich</div>",,23
,,,Zürich Siemens CUBE,,,"Albisriederstrasse 245, 8047 Zürich",47.3783957,8.4924392,"<div class='info'><span class='semiBold'>Zürich Siemens CUBE</span><br />Albisriederstrasse 245, 8047 Zürich</div>",,24
,,,Zürich VZ Werd,,,"Werdstrasse 75, 8004 Zürich",47.3718795,8.524817,"<div class='info'><span class='semiBold'>Zürich VZ Werd</span><br />Werdstrasse 75, 8004 Zürich</div>",,25
,,,Zürich Arena Baden,,,Brown Boveri Strasse 7 in Baden,47.4795176,8.3027419,<div class='info'><span class='semiBold'>Zürich Arena Baden</span><br />Brown Boveri Strasse 7 in Baden</div>,,26
,,,"Procter & Gamble, Genf",,,"Route de chancy 6, 1213 Petit-Lancy",46.1935222,6.120801,"<div class='info'><span class='semiBold'>Procter & Gamble, Genf</span><br />Route de chancy 6, 1213 Petit-Lancy</div>",,27
,,,"B.I.T., Genf",,,"Route des Morillons 4, 1202 Genève",46.229209,6.1322084,"<div class='info'><span class='semiBold'>B.I.T., Genf</span><br />Route des Morillons 4, 1202 Genève</div>",,28
,,,"OIM, Genf",,,"Route des Morillons 17, 1218 Le Grand-Saconnex",46.2316748,6.1298212,"<div class='info'><span class='semiBold'>OIM, Genf</span><br />Route des Morillons 17, 1218 Le Grand-Saconnex</div>",,29
