"Row Index",ID,Title,Instructions,"Create Date","Production Date","Kitchen Id","Kitchen Name","Weight [gram/serving]","CO2-Value [gram CO2/serving]","Energy [kJ/serving]","Portions per Recipe","Recipe Portions planned or produced","Recipe Portions sold","Animal Welfare Label","Rainforest Label","Water Scarcity Footprint [liter/serving]","Water Scarcity Rating","Vita score [Serving]","Vita Score Rating","Fruit Risk Factor Amount [g/serving]","Fruit Risk Points [points/serving]","Vegetable Risk Factor Amount [g/serving]","Vegetable Risk Points [points/serving]","Wholegrain Risk Factor Amount [g/serving]","Wholegrain Risk Points [points/serving]","Nuts Seeds Risk Factor Amount [g/serving]","Nuts Seeds Risk Points [points/serving]","Milk Risk Factor Amount [g/serving]","Milk Risk Points [points/serving]","Processed Meat Risk Factor Amount [g/serving]","Processed Meat Risk Points [points/serving]","Red Meat Risk Factor Amount [g/serving]","Red Meat Risk Points [points/serving]","Salt Risk Factor Amount [g/serving]","Salt Risk Points [points/serving]","Eaternity Award",Vegetarian/Vegan,"Categorization Tags","Base Product Tags","Food Unit","CO2 FU Rating","CO2 Improvement Percentage","Menu Line Name","Menu Line ID","Palm oil Amount (critical)","Palm oil Amount (not critical)","Soy Amount (critical)","Soy Amount (not critical)","Animal Welfare Rating","Rainforest Rating","Water Scarcity Reduction Value","Water Scarcity Improvement Percentage","Vita Score Improvement Percentage"
1,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Anweisung  Text eingeben",2022-09-01,2022-09-01,recipe-components,,180.4,116,817.3988258892765,100,0,0,false,true,17.225,C,262.337,A,0.597,124.190,89.347,0.000,12.500,18.727,0.000,65.630,3.465,7.910,0.000,0.000,0.000,0.000,1.388,45.880,true,vegetarian,combined-dairy,"eggs,salt,condiment,animal-based,vilk,herbs-spices,milk,vairy,wholegrain,juice,rice,vegetables,grains,oil-fats,fruits,beverage,plant-based,dairy,sugar",0.43907049711508433,A,66.07,,0,0,0,1,0,E,A,-1.146,-7.13,34.55




Ingredients:
"Row Index",ID,Title,Location,"Kitchen Name","Production Date",Index,"Weight [g]",Name,Type,"Product ID",Production,Origin,Transport,"g CO2","CO2 Base Value [g]","CO2 Greenhouse [g]","CO2 Organic [g]","CO2 Frozen Conservation [g]","CO2 Land Transport [g]","CO2 Sea Transport [g]","CO2 Air Transport [g]","Energy [kJ]","Food Unit","CO2 Improvement Percentage","CO2 Reduction Value","Water Scarcity Footprint [liter]","Total Soy Amount [g/serving] (critical)","Total Soy Amount [g/serving] (not critical)","Total Palmoil Amount [g/serving] not certified","Total Palmoil Amount [g/serving] certified",Tags,"meat origins","Animal Welfare Rating","Rainforest Rating","Water Scarcity Rating","CO2 FU Rating","Fruit Risk Factor Amount [g/serving]","Fruit Risk Points [points/serving]","Vegetable Risk Factor Amount [g/serving]","Vegetable Risk Points [points/serving]","Wholegrain Risk Factor Amount [g/serving]","Wholegrain Risk Points [points/serving]","Nuts Seeds Risk Factor Amount [g/serving]","Nuts Seeds Risk Points [points/serving]","Milk Risk Factor Amount [g/serving]","Milk Risk Points [points/serving]","Processed Meat Risk Factor Amount [g/serving]","Processed Meat Risk Points [points/serving]","Red Meat Risk Factor Amount [g/serving]","Red Meat Risk Points [points/serving]","Salt Risk Factor Amount [g/serving]","Salt Risk Points [points/serving]","Vita Score Improvement Percentage","Vita score [Serving]","Vita Score Rating","Water Scarcity Improvement Percentage","Water Scarcity Reduction Value"
1,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,0,1250,Buchweizenmehl,FoodServiceProduct,"d1536fa8-e7e0-4826-a4d8-3e1860108438",standard,UNKNOWN,,979.310,887.500,0.000,0.000,0.000,66.618,25.192,0.000,18125.000,7.804,84,5097.381,9.261,0,0,0,0,"plant-based;wholegrain;grains",,A,A,A,A,0.000,124.190,0.000,88.250,1250.000,0.000,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.188,0.000,,,,96.759,276.508
2,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,1,1250,Hartweizengrieß,FoodServiceProduct,"0240153a-a8e7-446e-9ea1-0a746d40ee6a",standard,UNKNOWN,,979.310,887.500,0.000,0.000,0.000,66.618,25.192,0.000,18625.000,7.852,84,5134.930,9.261,0,0,0,0,plant-based;grains,,A,A,A,A,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.094,0.000,,,,96.779,278.274
3,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,2,1250,Wasser,FoodServiceProduct,"242be13a-4da6-495f-a449-cd91e840980a",standard,UNKNOWN,,0.545,0.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,100,388.805,0.000,0,0,0,0,beverage,,A,A,A,A,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.031,0.000,,,,100.000,18.310
4,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,3,5000,Kürbis,FoodServiceProduct,"41e9018f-26eb-44c8-83c0-bfb1e08388f6",standard,UNKNOWN,,430.823,257.000,0.000,0.000,0.000,173.823,0.000,0.000,3430.000,5.161,89,3587.773,5.806,0,0,0,0,plant-based;vegetables,,A,A,A,A,0.000,124.190,5000.000,0.000,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.088,0.000,,,,96.928,183.177
5,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,4,60,Butter,FoodServiceProduct,"2e030e0c-4953-4425-8949-609afff62bf2",standard,UNKNOWN,,726.715,725.400,0.000,0.000,0.000,1.315,0.000,0.000,1836.000,0.842,-11,-71.309,4.432,5,0,0,0,"oil-fats;animal-based;dairy",,E,E,A,C,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.015,0.000,,,,85.620,26.390
6,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,5,650,Zwiebel,FoodServiceProduct,"a8a4a4bd-2d8e-42ce-ba6e-367207a55802",standard,UNKNOWN,,243.750,227.500,0.000,0.000,0.000,16.250,0.000,0.000,974.740,0.716,56,313.678,0.288,0,0,0,0,plant-based;vegetables,,A,A,A,A,0.000,124.190,650.000,0.000,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.057,0.000,,,,98.901,25.926
7,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,6,100,Salz,FoodServiceProduct,"b7bec65c-19cf-4b3d-ae61-6fc4ad689638",standard,UNKNOWN,,58.375,20.000,0.000,0.000,0.000,24.793,13.583,0.000,0.000,0.167,55,71.309,0.000,0,0,0,0,salt,,A,A,A,A,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,98.000,45.880,,,,100.000,6.099
8,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,7,100,Pfeffer,FoodServiceProduct,"c10f1ec8-a841-4e2d-ad04-e6d810def7e3",standard,UNKNOWN,,531.384,417.000,0.000,0.000,0.000,113.602,0.782,0.000,1381.644,0.681,-0,-0.900,25.293,0,0,0,0,condiment;plant-based,,A,A,C,C,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.035,0.000,,,,-1.385,-0.345
9,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,8,380,Eigelb,FoodServiceProduct,"2898b2b1-4d3e-435c-be65-61ae0c4ec3a1",standard,UNKNOWN,,1030.780,1014.600,0.000,0.000,0.000,16.180,0.000,0.000,5510.000,3.463,62,1666.106,15.290,122,0,0,0,eggs;animal-based,,E,E,A,A,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.475,0.000,,,,87.944,111.536
10,"32ceff8f-92f6-45e8-b4e2-e6192c89bc3e","Kürbisravioli (Gericht)","Zürich, Schweiz",,2022-09-01,9,8000,"Curry Kokos Sauce",CombinedProduct,"c3eb637e-697d-472f-afab-06c8b833475f",,UNKNOWN,,6607.642,4473.796,0.000,0.000,0.000,2006.418,127.427,0.000,31857.499,16.722,49,6414.012,1652.895,3,0,0,0,combined-dairy,,E,A,D,B,59.673,124.190,3284.746,0.000,0.000,122.340,0.000,65.630,346.541,7.910,0.000,0.000,0.000,0.000,39.801,45.880,8.71,365.950,B,-169.917,-1040.525
