"Row Index",ID,Title,Instructions,"Create Date","Production Date","Kitchen Id","Kitchen Name","Weight [gram/serving]","CO2-Value [gram CO2/serving]","Energy [kJ/serving]","Portions per Recipe","Recipe Portions planned or produced","Recipe Portions sold","Animal Welfare Label","Rainforest Label","Water Scarcity Footprint [liter/serving]","Water Scarcity Rating","Vita score [Serving]","Vita Score Rating","Fruit Risk Factor Amount [g/serving]","Fruit Risk Points [points/serving]","Vegetable Risk Factor Amount [g/serving]","Vegetable Risk Points [points/serving]","Wholegrain Risk Factor Amount [g/serving]","Wholegrain Risk Points [points/serving]","Nuts Seeds Risk Factor Amount [g/serving]","Nuts Seeds Risk Points [points/serving]","Milk Risk Factor Amount [g/serving]","Milk Risk Points [points/serving]","Processed Meat Risk Factor Amount [g/serving]","Processed Meat Risk Points [points/serving]","Red Meat Risk Factor Amount [g/serving]","Red Meat Risk Points [points/serving]","Salt Risk Factor Amount [g/serving]","Salt Risk Points [points/serving]","Eaternity Award",Vegetarian/Vegan,"Categorization Tags","Base Product Tags","Food Unit","CO2 FU Rating","CO2 Improvement Percentage","Menu Line Name","Menu Line ID","Palm oil Amount (critical)","Palm oil Amount (not critical)","Soy Amount (critical)","Soy Amount (not critical)","Animal Welfare Rating","Rainforest Rating","Water Scarcity Reduction Value","Water Scarcity Improvement Percentage","Vita Score Improvement Percentage"
1,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht)","Anweisung  Text eingeben",2022-09-13,2022-09-01,recipe-components,,224.03,206,773.1163159999996,100,0,0,true,false,26.229,C,53.790,A,63.850,0.000,52.000,0.000,33.340,0.000,3.000,0.000,0.000,7.910,0.000,0.000,0.000,0.000,0.632,45.880,false,vegan,combined-plant,"condiment,oil-fats,nuts-seeds,fruits,plant-based,herbs-spices,wholegrain,berries,vegetables,grains,citrus",0.44895798315151514,B,41.08,,0,17,0,0,0,A,E,-9.788,-59.53,86.58




Ingredients:
"Row Index",ID,Title,Location,"Kitchen Name","Production Date",Index,"Weight [g]",Name,Type,"Product ID",Production,Origin,Transport,"g CO2","CO2 Base Value [g]","CO2 Greenhouse [g]","CO2 Organic [g]","CO2 Frozen Conservation [g]","CO2 Land Transport [g]","CO2 Sea Transport [g]","CO2 Air Transport [g]","Energy [kJ]","Food Unit","CO2 Improvement Percentage","CO2 Reduction Value","Water Scarcity Footprint [liter]","Total Soy Amount [g/serving] (critical)","Total Soy Amount [g/serving] (not critical)","Total Palmoil Amount [g/serving] not certified","Total Palmoil Amount [g/serving] certified",Tags,"meat origins","Animal Welfare Rating","Rainforest Rating","Water Scarcity Rating","CO2 FU Rating","Fruit Risk Factor Amount [g/serving]","Fruit Risk Points [points/serving]","Vegetable Risk Factor Amount [g/serving]","Vegetable Risk Points [points/serving]","Wholegrain Risk Factor Amount [g/serving]","Wholegrain Risk Points [points/serving]","Nuts Seeds Risk Factor Amount [g/serving]","Nuts Seeds Risk Points [points/serving]","Milk Risk Factor Amount [g/serving]","Milk Risk Points [points/serving]","Processed Meat Risk Factor Amount [g/serving]","Processed Meat Risk Points [points/serving]","Red Meat Risk Factor Amount [g/serving]","Red Meat Risk Points [points/serving]","Salt Risk Factor Amount [g/serving]","Salt Risk Points [points/serving]","Vita Score Improvement Percentage","Vita score [Serving]","Vita Score Rating","Water Scarcity Improvement Percentage","Water Scarcity Reduction Value"
1,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,0,6666,Gemüsebrühe,FoodServiceProduct,"c5e418ac-2c45-4307-ac03-67c708f18480",standard,UNKNOWN,,3957.957,1399.860,0.000,0.000,0.000,1652.675,905.423,0.000,1799.820,3.760,-35,-1029.788,0.000,0,0,1666,0,condiment;plant-based,,A,E,A,C,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,59.994,45.880,,,,100.000,137.703
2,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,1,3334,bulgur,FoodServiceProduct,"ad2579fd-61ee-4f4b-8fe5-3121fdc4da87",standard,UNKNOWN,,4046.652,2767.220,0.000,0.000,0.000,826.585,452.847,0.000,45942.520,20.263,74,11732.021,53.527,0,0,0,0,"plant-based;wholegrain;grains",,A,A,A,A,0.000,124.190,0.000,88.250,3334.000,0.000,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,1.417,0.000,,,,92.786,688.498
3,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,2,33,Curry,FoodServiceProduct,"dc4ca7f7-3bf6-4916-afef-2d13382e09bf",standard,UNKNOWN,,21.295,9.900,0.000,0.000,0.000,11.242,0.153,0.000,380.160,0.227,88,155.666,8.970,0,0,0,0,plant-based;herbs-spices,,A,A,C,A,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.043,0.000,,,,-7.785,-0.648
4,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,3,3200,Paprika,FoodServiceProduct,"8fc66ee8-d0da-477f-ad62-c9e3393e4112",standard,UNKNOWN,,2887.202,1408.000,0.000,0.000,838.400,612.497,28.305,0.000,3301.760,3.503,-6,-159.155,89.948,0,0,0,0,plant-based;vegetables,,A,A,B,C,0.000,124.190,3200.000,0.000,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.185,0.000,,,,29.888,38.344
5,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,4,2000,Frühlingszwiebeln,FoodServiceProduct,"3aa245db-69b2-4a74-85bc-5e39c4f5cce2",standard,UNKNOWN,,743.836,700.000,0.000,0.000,0.000,43.836,0.000,0.000,2780.000,2.176,56,950.361,0.160,0,0,0,0,plant-based;vegetables,,A,A,A,A,0.000,124.190,2000.000,0.000,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.800,9.618,,,,99.799,79.513
6,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,5,300,Petersilie,FoodServiceProduct,"e9af6aa9-1d85-439a-85fc-ffd4ca9f0490",standard,UNKNOWN,,239.109,45.000,0.000,0.000,78.600,112.754,2.755,0.000,705.000,0.520,41,165.696,6.755,0,0,0,0,plant-based;herbs-spices,,A,A,A,B,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.285,19.971,,,,64.518,12.282
7,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,6,5050,Orangen,FoodServiceProduct,"f1007b32-f9a4-4de3-8f1e-cf601b5a12c8",standard,UNKNOWN,,2174.154,833.250,0.000,0.000,0.000,1340.904,0.000,0.000,6726.600,6.239,55,2684.027,242.318,0,0,0,0,"fruits;plant-based;citrus",,A,A,C,A,5050.000,0.000,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.364,0.000,,,,-6.063,-13.852
8,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,7,185,Olivenöl,FoodServiceProduct,"090c4482-4a22-4820-a8bd-9b735b7c1a58",standard,UNKNOWN,,816.116,791.800,0.000,0.000,0.000,24.266,0.050,0.000,6160.500,2.829,63,1387.136,599.742,0,0,0,0,oil-fats;plant-based,,A,A,D,A,0.000,124.190,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.004,0.000,,,,-478.831,-496.129
9,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,8,1335,"Cranberrys getrocknet",FoodServiceProduct,"755b319e-034b-46c9-b653-45f72f04cb99",standard,UNKNOWN,,4972.535,587.400,0.000,0.000,0.000,186.652,19.932,0.000,2242.800,1.248,-412,-4000.794,0.792,0,0,0,0,combined-plant,,A,A,A,E,1335.000,0.000,0.000,88.250,0.000,122.340,0.000,65.630,0.000,7.910,0.000,0.000,0.000,0.000,0.067,0.000,,,,98.268,44.907
10,"e4f6b405-2d0e-453c-985c-a085ab7b871e","Bulgursalat (Gericht) ","Zürich, Schweiz",,2022-09-01,9,300,Mandeln,FoodServiceProduct,"d0d227c0-6bd2-437f-8b7f-afab2df690ce",standard,UNKNOWN,,732.977,660.000,0.000,0.000,0.000,41.038,31.938,0.000,7272.472,4.130,77,2483.355,1620.639,0,0,0,0,nuts-seeds;plant-based,,A,A,E,A,0.000,124.190,0.000,88.250,0.000,122.340,300.000,0.000,0.000,7.910,0.000,0.000,0.000,0.000,0.007,0.000,,,,-971.463,-1469.384
